2.47415203	0.24137083
2.47909916	0.23957915
2.48406612	0.23768615
2.48905303	0.23570659
2.49405999	0.23365202
2.49908715	0.23153091
2.50413460	0.22935145
2.50920249	0.22712173
2.51429093	0.22484971
2.51940006	0.22254322
2.52452999	0.22020997
2.52968085	0.21785250
2.53485277	0.21546126
2.54004589	0.21302503
2.54526032	0.21053281
2.55049622	0.20797380
2.55575369	0.20533736
2.56103289	0.20261304
2.56633394	0.19979350
2.57165698	0.19688737
2.57700215	0.19390847
2.58236959	0.19087044
2.58775943	0.18778671
2.59317181	0.18467046
2.59860689	0.18153471
2.60406479	0.17839222
2.60954568	0.17525558
2.61504968	0.17213334
2.62057694	0.16902127
2.62612763	0.16591268
2.63170187	0.16280096
2.63729983	0.15967958
2.64292166	0.15654216
2.64856751	0.15338245
2.65423753	0.15019603
2.65993187	0.14699891
2.66565071	0.14381991
2.67139418	0.14068749
2.67716246	0.13762972
2.68295571	0.13467411
2.68877408	0.13184771
2.69461774	0.12917709
2.70048686	0.12668502
2.70638160	0.12437174
2.71230214	0.12222852
2.71824863	0.12024672
2.72422125	0.11841783
2.73022018	0.11673344
2.73624559	0.11518527
2.74229765	0.11376513
2.74837654	0.11246183
2.75448245	0.11126005
2.76061554	0.11014440
2.76677601	0.10909973
2.77296403	0.10811115
2.77917979	0.10716405
2.78542349	0.10624401
2.79169530	0.10533703
2.79799541	0.10444171
2.80432403	0.10358091
2.81068134	0.10277997
2.81706754	0.10206374
2.82348283	0.10145659
2.82992740	0.10098243
2.83640146	0.10066475
2.84290521	0.10052546
2.84943885	0.10056147
2.85600260	0.10074575
2.86259665	0.10105073
2.86922122	0.10144928
2.87587653	0.10191480
2.88256278	0.10242112
2.88928019	0.10294255
2.89602899	0.10345540
2.90280938	0.10396962
2.90962160	0.10452747
2.91646587	0.10517178
2.92334242	0.10594458
2.93025146	0.10688706
2.93719325	0.10803963
2.94416800	0.10944188
2.95117596	0.11112135
2.95821735	0.11304774
2.96529243	0.11517306
2.97240143	0.11745023
2.97954460	0.11983298
2.98672219	0.12227943
2.99393444	0.12478683
3.00118161	0.12737624
3.00846394	0.13006863
3.01578171	0.13288457
3.02313516	0.13584421
3.03052455	0.13897063
3.03795016	0.14229220
3.04541225	0.14583728
3.05291109	0.14963361
3.06044695	0.15370837
3.06802010	0.15808811
3.07563082	0.16278166
3.08327940	0.16770530
3.09096612	0.17274600
3.09869126	0.17779293
3.10645510	0.18273775
3.11425796	0.18754295
3.12210010	0.19232208
3.12998185	0.19720634
3.13790349	0.20232431
3.14586533	0.20777683
3.15386767	0.21353224
3.16191083	0.21951708
3.16999512	0.22565930
3.17812086	0.23188825
3.18628836	0.23813468
3.19449794	0.24433172
3.20274995	0.25046466
3.21104469	0.25659379
3.21938251	0.26278405
3.22776375	0.26909907
3.23618873	0.27560107
3.24465782	0.28235101
3.25317134	0.28940986
